date wind precip sunshine clouds pressure temperature
2021-05-20 3.9 0 7.933 5.9 1005.26 12.9
2021-05-21 5.5 0.6 7.683 5.1 994.22 14.9
2021-05-22 5.9 0.4 3.833 7 992.93 12.4
2021-05-23 5 0 6.667 5.5 1000.92 11.9
2021-05-24 4.2 1 13.267 5 1001.52 15.6
2021-05-25 5.2 3.7 4.017 7.5 999.57 11.5
2021-05-26 5.4 0 5.917 7.3 998.7 12.2
2021-05-27 5.7 1 3.983 7 1001 11.5
2021-05-28 4.4 0.3 4.467 6.9 1008.64 12.1
2021-05-29 5.1 0 4.583 5.6 1012.25 11.5
2021-05-30 3.7 0 14.6 1.9 1014.15 14.5
2021-05-31 2.5 0 15.75 2.4 1011.27 14.9
2021-06-01 3.9 0 10.65 7.8 1006.78 17.5
2021-06-02 3.7 0 11.033 3.6 1007.66 18.3
2021-06-03 4.2 0.4 14.333 3.7 1010.57 20.7
2021-06-04 4.4 0.3 7.233 6.3 1009.3 19.4
2021-06-05 4 0 12.833 7.3 1007.15 21.4
2021-06-06 3.6 0 8.617 6.4 1007.6 21.2
2021-06-07 3.7 0 15.433 1.6 1008.91 20.3
2021-06-08 3.4 0 13.517 1.5 1009.45 21.3
2021-06-09 2.3 0 15.617 2.6 1009.22 21.1
2021-06-10 3.4 0 10.75 7 1007.22 22.4
2021-06-11 2.9 0 11.95 6.3 1005.46 22.5
2021-06-12 5.7 1.3 4.083 5.3 1003.67 18.3
2021-06-13 5.6 0 5.7 4 1011.82 15
2021-06-14 2.6 0 15.383 2.1 1009.53 19.6
2021-06-15 3.1 0 5.867 7.5 1006.91 19.6
2021-06-16 3.7 0 15.233 3.5 1006.19 21.3
2021-06-17 4 0 15.467 0.2 1003.59 26.3
2021-06-18 4.1 0 15.783 0 1002.41 27.8
2021-06-19 3 1.6 11.917 3.4 1001.07 27.7
2021-06-20 3.8 0.6 7.7 5.4 996.92 27.1
2021-06-21 4.2 0 10.25 4.3 994.86 24.5
2021-06-22 3.8 0.1 1.017 6.6 1002.08 18.1
2021-06-23 2.5 0 3.383 7 1008.1 16.3
2021-06-24 1.8 1.8 0 8 1006.82 16.7
2021-06-25 2.3 0 3 7.8 1005.6 19.6
2021-06-26 2.4 0 12.933 3.7 1006.9 20.8
2021-06-27 2.3 0 14.683 2.1 1005.76 21.5
2021-06-28 2.9 0 10.2 5.9 1003.45 25
2021-06-29 2.8 24.1 4.4 7.5 998.81 23.2
2021-06-30 4.5 33.7 0 7.5 996.19 17.4
2021-07-01 5.5 7.4 0 7.8 998.7 15.2
2021-07-02 4.5 0 7.667 5.7 1003.05 18.8
2021-07-03 3.6 0 13.867 2 1003.25 19.4
2021-07-04 2.3 0 12.783 3.3 999.02 21.8
2021-07-05 3.3 1.3 5.4 7 997.91 19.8
2021-07-06 4.2 8 9.283 5.6 998.62 22.5
2021-07-07 2.6 6.2 4.35 6.3 1006.1 18.2
2021-07-08 2.7 4.2 2.917 7.6 1008.96 18.1
2021-07-09 4.4 21.8 0 7.8 1004.07 16.7
2021-07-10 4.8 0 8.583 7 1004.93 19.1
2021-07-11 3.9 0 12.05 5.6 1004.46 22.1
2021-07-12 2.8 0 3 6.7 1001.16 21.2
2021-07-13 3.5 2.2 11.667 6.2 997.25 23.5
2021-07-14 3.2 0 4.45 6.5 997.43 20.6
2021-07-15 2.4 0 7.683 4.3 1000.76 21.5
2021-07-16 3.5 6.8 9.1 5 1004.97 22.6
2021-07-17 4 0 6.767 5.8 1006.93 22.7
2021-07-18 3.9 0 11.967 2.5 1007.14 21.4
2021-07-19 3.7 0 1.067 6.8 1007.45 17
2021-07-20 3.1 0 5.05 5.9 1007.51 17.1
2021-07-21 2.7 0 1 7 1010.3 17.8
2021-07-22 2 0 1.567 7.4 1009.14 19.4
2021-07-23 2.1 0 11.067 2 1005.21 19.7
2021-07-24 3.5 0 10.833 2.8 1000.43 22.9
2021-07-25 3.7 0 8.05 6.4 997.83 23.3
2021-07-26 3.1 0 5.733 6.6 998.85 23.6
2021-07-27 4.3 0 10.133 6 1000.08 22.8
2021-07-28 3.8 0 4.983 5.8 999.37 20.8
2021-07-29 5.3 0 7.967 4.1 998.76 19.9
2021-07-30 4.5 0 12.883 4.7 996.89 20.2
2021-07-31 5.9 0 7.283 4.5 994.91 20.4
2021-08-01 3.3 12.1 4.05 6.8 996.26 17.2
2021-08-02 4.5 0 7.45 5.4 999.7 16.8
2021-08-03 2.1 1.8 3.65 6.8 1001.95 17.3
2021-08-04 2.4 0.5 4.683 6.6 1001.65 17.6
2021-08-05 3.1 4.8 5.85 7.8 998.31 17.8
2021-08-06 2.9 19 7.45 5.9 994.27 18.3
2021-08-07 3.6 4.8 8.383 4.9 993.62 18.7
2021-08-08 5.2 1.8 7.6 5.6 997.99 18
2021-08-09 4 2.1 5.933 5.6 1005.73 16.5
2021-08-10 3.7 4.2 6.483 5.3 1004.86 17.5
2021-08-11 3.3 0 9.5 4.4 1007.49 17.6
2021-08-12 2.3 0 11.517 5.2 1009.28 20.8
2021-08-13 3.1 0 10.15 6.6 1007.78 23.4
2021-08-14 3.3 0 12.867 4.8 1007.28 21.4
2021-08-15 2.8 0 11.433 6.2 1001.9 20.5
2021-08-16 6.3 2.2 5.05 5.5 995.96 18
2021-08-17 7.9 0.3 0.5 7 999.47 14.8
2021-08-18 5.9 0.2 2.733 7.5 1000.22 16.6
2021-08-19 5.1 0.2 0.667 7.9 1000.27 17.8
2021-08-20 3.2 0.8 2.417 7.3 1004.02 17.4
2021-08-21 2.2 0 9.2 6.2 1007.21 18.7
2021-08-22 3.5 11.8 1.633 7.8 1004.17 17.5
2021-08-23 3.9 0 1.15 6.9 1008.1 16.2
2021-08-24 3.7 0 11.317 3.1 1014.36 16.1
2021-08-25 4.6 8 4.617 6 1006.25 14.8
2021-08-26 5 17.4 1.95 7.6 997.05 13.5
2021-08-27 3.7 1.7 3.967 7.2 999.17 14.2
2021-08-28 2.2 0.8 2.917 7.8 1003.44 15.1
2021-08-29 2.3 12.1 1.433 7.5 1002.43 15.5
2021-08-30 3.3 3.2 0.067 7.9 1003.47 15.4
2021-08-31 4.3 0 6.383 6.4 1007.96 16
2021-09-01 3.9 0 6 4.6 1012.92 14.8
2021-09-02 3 0 5.483 3.9 1014.44 15.1
2021-09-03 3.5 0 11.45 0.9 1008.35 16.6
2021-09-04 3.4 0 3.367 5.5 1007.19 13.8
2021-09-05 2.1 0 6.133 5.9 1010.82 15.3
2021-09-06 2.6 0 10.417 4.5 1011.84 16.4
2021-09-07 2 0 9.033 5.6 1012.07 17
2021-09-08 3.2 0 12.05 0 1008.4 18.3
2021-09-09 3.8 0 12.15 1 1001.71 19.3
2021-09-10 3.6 8 8.85 2.6 1001.63 19.9
2021-09-11 3.2 3.5 3.2 6.3 1003.76 18.8
2021-09-12 3.3 0.4 1.583 7.6 1004.74 17
2021-09-13 3.1 0 5.267 5.9 1006.49 15.4
2021-09-14 3.4 0 11.633 2 1006.2 16.2
2021-09-15 4.2 9.9 2.5 7.8 1000.38 17.9
2021-09-16 5.2 0.9 1.067 7.4 1000.91 16.9
2021-09-17 5.1 0 0.733 7.7 1001.44 14.3
2021-09-18 3.8 1 0.35 7.9 1004.23 13.8
2021-09-19 2.5 0 0.317 8 1006.53 12.7
2021-09-20 1.7 0 1.733 7.8 1009.9 12.2
