Date	APPLE	AMAZON	FORD	GOOGLE	MICROSOFT	VOLKSWAGEN
2007-01-03	2.551164	1.935	4.905402	11.646098	21.627073	NA
2007-01-04	2.60779	1.945	5.029506	12.036385	21.59086	NA
2007-01-05	2.589219	1.9185	4.977252	12.134268	21.467728	NA
2007-01-08	2.602005	1.875	5.049103	12.044355	21.677771	NA
2007-01-09	2.818154	1.889	5.088295	12.092176	21.699499	NA
2007-01-10	2.953019	1.8575	5.049103	12.190806	21.482224	NA
2007-01-11	2.916487	1.87	5.07523	12.446348	22.235474	NA
2007-01-12	2.880564	1.91	5.15361	12.577855	22.60486	NA
2007-01-16	2.956064	1.933	5.186271	12.559922	22.568645	NA
2007-01-17	2.89061	1.894	5.251588	12.385576	22.525181	NA
2007-01-18	2.711602	1.849	5.343034	12.150208	22.452753	NA
2007-01-19	2.694248	1.851	5.421416	12.198029	22.532429	NA
2007-01-22	2.642191	1.8475	5.493265	11.976111	22.249962	NA
2007-01-23	2.609008	1.8215	5.421416	11.931528	22.264446	NA
2007-01-24	2.639452	1.863	5.356098	12.430159	22.517937	NA
2007-01-25	2.625752	1.854	5.369161	12.156684	22.054407	NA
2007-01-26	2.599266	1.8425	5.499798	12.34971	22.163044	NA
2007-01-29	2.616315	1.8715	5.467139	12.265775	22.112345	NA
2007-01-30	2.60444	1.8525	5.356098	12.311852	22.076128	NA
2007-01-31	2.609921	1.8835	5.310376	12.490682	22.351349	NA
2007-02-01	2.579782	1.935	5.414885	11.998776	22.134073	NA
2007-02-02	2.580087	1.8695	5.375695	11.992549	21.866093	NA
2007-02-05	2.555428	1.858	5.441012	11.635388	21.446011	NA
2007-02-06	2.56182	1.9135	5.57818	11.742984	21.373571	NA
2007-02-07	2.622707	1.949	5.591244	11.706372	21.272179	NA
2007-02-08	2.62362	1.955	5.584712	11.731776	21.192513	NA
2007-02-09	2.53503	1.936	5.702286	11.50413	20.989702	NA
2007-02-12	2.584045	1.9425	5.65003	11.414466	20.960726	NA
2007-02-13	2.578564	1.9655	5.519393	11.43464	21.084295	NA
2007-02-14	2.59683	2.007	5.558586	11.604753	21.367741	NA
2007-02-15	2.59409	2.003	5.617371	11.493669	21.411343	NA
2007-02-16	2.582522	2.0165	5.571648	11.704628	20.888056	NA
2007-02-20	2.615096	2.0755	5.65003	11.758427	20.95347	NA
2007-02-21	2.715559	2.063	5.532458	11.852076	21.331396	NA
2007-02-22	2.724997	2.05	5.454075	11.851826	21.360472	NA
2007-02-23	2.711602	2.039	5.421416	11.721565	21.004343	NA
2007-02-26	2.694554	2.044	5.39529	11.579846	21.127897	NA
2007-02-27	2.555124	1.9415	5.081762	11.177355	20.255743	NA
2007-02-28	2.575824	1.957	5.166674	11.194291	20.473776	NA
2007-03-01	2.650411	1.9425	5.07523	11.163905	20.415646	NA
2007-03-02	2.600179	1.8845	4.957658	10.926046	20.175797	NA
2007-03-05	2.627883	1.8525	4.951124	10.982585	20.023172	NA
2007-03-06	2.684812	1.929	4.990316	11.396035	20.226669	NA
2007-03-07	2.670503	1.918	4.977252	11.348463	20.066778	NA
2007-03-08	2.679028	1.905	5.179739	11.325549	19.856012	NA
2007-03-09	2.678115	1.942	5.179739	11.281713	19.834206	NA
2007-03-12	2.735957	1.9405	5.107889	11.326296	19.943226	NA
2007-03-13	2.691205	1.891	4.990316	11.03439	19.419935	NA
2007-03-14	2.739915	1.904	4.905402	11.158176	19.914156	NA
2007-03-15	2.726824	1.889	4.957658	11.113095	19.826935	NA
2007-03-16	2.727432	1.8925	4.931529	10.980094	19.863283	NA
2007-03-19	2.774316	1.9225	5.107889	11.138998	20.226669	NA
