Monat Bedeckungsgrad Lufttemperatur Windstaerke Sonnenscheindauer Niederschlagshoehe
1900-08-15 5.66 1.53 2.9 121.4 NA
1900-09-15 4.13 1.81 3.01 175 NA
1900-10-15 4.46 -3.23 3.71 150.1 NA
1900-11-15 4.75 -5.37 2.92 88 NA
1900-12-15 4.05 -6.71 3.12 111.2 NA
1901-01-15 3.17 -10.93 3.79 152 56.9
1901-02-15 3.83 -15.73 3.23 126 67.3
1901-03-15 5.64 -10.56 4.48 101.6 170.8
1901-04-15 4.73 -6.84 3.96 130.7 157.5
1901-05-15 4.81 -4.07 2.29 140 104.3
1901-06-15 5.86 0.31 3.07 112.3 198.8
1901-07-15 6.08 1.68 2.74 90.4 127.7
1901-08-15 5.44 1.67 2.79 149.2 220.7
1901-09-15 5.24 1.15 3.04 108 105.9
1901-10-15 4.09 -3.15 4.05 149.2 109
1901-11-15 3.16 -8.6 4.62 148.9 79.3
1901-12-15 5.03 -10.29 5.83 61.4 89.9
1902-01-15 4.37 -10.43 5.29 118.4 64.7
1902-02-15 5.03 -9.96 5.53 56.2 22.9
1902-03-15 4.57 -10.9 6.07 137.5 99.1
1902-04-15 5.44 -4.72 3.3 103.4 45.2
1902-05-15 6.84 -7.98 5.73 57 257.3
1902-06-15 5.71 -1.3 4.32 120.9 194.9
1902-07-15 5.58 1.74 4.43 137.6 77.4
1902-08-15 5.8 1.26 4.71 99.8 113.8
1902-09-15 3.49 0.12 2.97 210.1 87.2
1902-10-15 4.94 -4.33 3.64 125.4 166.9
1902-11-15 2.41 -5.44 2.53 157.8 18.1
1902-12-15 4.27 -10.42 4.41 103.9 114.9
1903-01-15 2.82 -9.79 3.58 179.3 41.2
1903-02-15 3.9 -9.25 5.13 132.8 49.9
1903-03-15 3.51 -9.27 4.16 185.1 69.6
1903-04-15 6.47 -11.31 5.38 64.1 166.9
1903-05-15 4.94 -3.64 4.23 111.5 132.1
1903-06-15 5.89 -0.81 3.21 97 182.1
1903-07-15 5.97 0.66 4.32 82.1 281.5
1903-08-15 4.81 1.91 4.28 151.3 191.5
1903-09-15 3.62 1.02 2.78 174.7 69.4
1903-10-15 5.12 -2.87 5.65 106.1 118
1903-11-15 4.57 -7.3 5.04 108.7 86.5
1903-12-15 3.66 -8.01 3.57 118.1 22.3
1904-01-15 3.79 -8.97 3.59 113.8 44.7
1904-02-15 5.23 -10.98 4.76 72.2 181.7
1904-03-15 4.97 -8.68 4.11 111.1 88.5
