date wind precip sunshine clouds pressure temperature
2023-07-18 3.2 0 13.5 3.3 1007.1 19
2023-07-19 3.5 5.1 5.2 7.4 1000 20
2023-07-20 3.8 0 6.5 5.5 1001 17.1
2023-07-21 2.2 0.5 2.8 6.1 999.8 15.7
2023-07-22 4.9 0.1 10.3 6.3 1001.4 17.5
2023-07-23 4.6 0 2.9 7.8 997.5 20.3
2023-07-24 4.5 14.2 6.1 7 991.5 20.9
2023-07-25 4 0 5.5 7.5 992.9 17.1
2023-07-26 4.5 0 9.7 6.2 998.7 15.7
2023-07-27 4 11.4 3.4 6.2 996.8 15
2023-07-28 4.8 2.6 3.6 7.2 994 18.7
2023-07-29 3.5 15.7 6.9 5.5 995.9 18.9
2023-07-30 4.2 1.5 9.1 6.4 998.5 18.2
2023-07-31 4.6 2 0.4 8 996.1 17.3
2023-08-01 5.3 2.5 3.7 6.8 987.3 17.5
2023-08-02 5.3 2.6 4.1 7.4 986.6 18.4
2023-08-03 6.7 4.2 5.1 5.8 987.1 18.1
2023-08-04 3.9 0 8.7 5.8 999.4 18.4
2023-08-05 2.2 0 6.8 7.1 1001.6 17.2
2023-08-06 2 15.4 0 7.9 993.1 15.9
2023-08-07 7.7 0.5 4.5 7.6 994.5 15.8
2023-08-08 6.6 5.3 4.6 6.4 998.2 14.6
2023-08-09 3.7 0.9 8.2 5.9 1003.1 15
2023-08-10 2.2 0 9.7 3.5 1009.1 16.1
2023-08-11 2.6 0 10.3 4 1010 19.2
2023-08-12 3.7 0.8 3.2 7.7 1005.3 21.1
2023-08-13 2.5 0 8.2 7.1 1006.2 21.5
2023-08-14 3 5.3 10.1 5.5 1004.8 22.8
2023-08-15 2.7 1 9.4 4.5 1004.7 23.4
2023-08-16 2.4 0 5.3 5.3 1008.7 22.5
2023-08-17 3.9 8.5 4.3 7.2 1007.8 21.3
2023-08-18 2.9 0 13.1 3.2 1006.3 23.8
2023-08-19 3.1 0 12.1 4.2 1006.1 24.6
2023-08-20 3.4 0 11.7 4.1 1009.7 24.2
2023-08-21 3.1 0 8.8 4.2 1010.8 22.8
2023-08-22 2.9 0 2.6 6.4 1008.2 21.6
2023-08-23 3.4 0 13 2.4 1007.7 21
2023-08-24 2.5 0 9.5 6.7 1004.5 22
2023-08-25 3.1 0.9 6.5 6.1 997.5 23.2
2023-08-26 3.7 0.2 4 7.1 998.8 19.9
2023-08-27 2.9 0.2 0.2 7.5 998.6 17.4
2023-08-28 3.2 0.1 4.3 6.9 999.6 16.1
2023-08-29 2.1 6.6 0 7.9 997.7 15.3
2023-08-30 2.2 0.7 2.5 7.9 995.7 16.2
2023-08-31 4.8 5.7 4.3 6.6 997.7 13.9
2023-09-01 3.3 0.2 8.5 4.9 1002.7 15.1
2023-09-02 1.9 0 5.9 5.8 1009 16.9
2023-09-03 3.4 0 6.8 7.4 1014.7 17.1
2023-09-04 2.1 0 12.9 NA 1016.6 18.4
2023-09-05 3.2 0 13 NA 1012.4 20.6
2023-09-06 3.1 0 12.9 0.4 1011.7 21.2
2023-09-07 4.2 0 12.8 3.9 1012.3 21.3
2023-09-08 3.8 0 12.6 0.3 1009.4 21.1
2023-09-09 3.4 0 12.4 2.9 1006.6 22.4
2023-09-10 2 0 12.3 2.5 1005.8 22.5
2023-09-11 2.1 0 12.1 4.1 1002.5 23.1
2023-09-12 3.3 5.5 10 5.7 1001.1 22.3
2023-09-13 4.4 0.1 2.7 7.8 1002.3 18.2
2023-09-14 2.7 0 9.3 3.1 1010.8 14.8
2023-09-15 3.7 0 12.1 1 1010.2 16.1
2023-09-16 3.8 0 11.8 1.1 1005.6 18.2
2023-09-17 2.5 0 10.9 5.8 1003.9 20.2
2023-09-18 4.6 0.8 4 6.6 997.2 19.5
2023-09-19 5.8 0 8.4 6.5 998.3 17.5
2023-09-20 4.8 0 7.7 6.7 998.8 18.4
2023-09-21 4 3.2 9.6 4 991.6 20.6
2023-09-22 3.7 0.1 0.2 7.9 992.1 16.1
2023-09-23 4.8 0 5.2 5.6 1002 14
2023-09-24 2.9 0 7.2 3 1014.6 14.2
2023-09-25 3.6 0 10.6 3.3 1014.9 14.6
2023-09-26 3.2 0 9.4 4.3 1011.2 17.2
2023-09-27 2.9 0 9.9 4 1008.9 19.4
2023-09-28 2.7 0 10 5.3 1006 19.8
2023-09-29 4.1 0.1 2.8 7.7 1005.5 19.1
2023-09-30 4.9 0 6.5 4.4 1012.7 14.8
2023-10-01 3.8 0 2.3 7.9 1011.8 16
2023-10-02 3.6 0 8.5 7 1008.5 19.6
2023-10-03 6.3 13.6 1.4 6.7 1001.3 17.4
2023-10-04 6.3 0 3.5 5.9 1011.4 13.4
2023-10-05 5.8 2.6 1 7.5 1010.1 12.5
2023-10-06 5.2 1.1 1.6 7.8 1009.7 14.5
2023-10-07 6.7 11.9 0 7.7 1003.8 15.6
2023-10-08 2.6 3.9 7.7 6.2 1012.3 11.7
2023-10-09 2.6 2.6 0 7.8 1006.8 10
2023-10-10 3.6 0.2 0.4 7.9 1006.3 14.1
2023-10-11 5.5 3.1 6.7 7.6 1000 17.5
2023-10-12 3.6 2 0.1 8 1001.3 14.5
2023-10-13 5.1 2.3 1.7 7.8 997.1 17.2
2023-10-14 7 0.4 5.4 6.8 995 13.7
