date wind precip sunshine clouds pressure temperature
2020-05-28 3.9 0 10 4.9 1017.54 14.8
2020-05-29 3.1 0 9.967 3.9 1016.39 14.4
2020-05-30 4.1 0 9.967 6.3 1012.35 13.2
2020-05-31 4 0 9.833 4.5 1009.91 15.2
2020-06-01 3.6 0 15.667 0.5 1011.22 16.9
2020-06-02 3.3 0 15.333 1 1004.91 19.3
2020-06-03 2.7 0 12.467 4 993.91 19.2
2020-06-04 3.5 14 5.433 7.2 983.57 17.4
2020-06-05 4.6 2.3 3.433 7.2 983.13 13.1
2020-06-06 5 0.2 8.733 4.9 990.08 12.7
2020-06-07 3.5 0 1.75 6.6 995.81 14.1
2020-06-08 2.4 0 9.4 5 1001.58 16.2
2020-06-09 2.6 0 0.883 7.2 1004.2 17.2
2020-06-10 3.3 2.1 7.75 6.9 1002.18 16.4
2020-06-11 2.2 2 1.317 7.2 999.2 16.6
2020-06-12 2.8 0 6.417 7 999.38 20.2
2020-06-13 3.6 19.8 4.883 6.6 999.1 21.3
2020-06-14 3.6 0 5.183 4.8 1000.35 20.2
2020-06-15 3.5 0 12.8 2.3 1002.52 19.7
2020-06-16 2.2 0 14.617 4.3 1002.3 20.7
2020-06-17 2.9 0 12.283 6 999.42 23.2
2020-06-18 3 8.6 0.167 7.7 998.01 19.8
2020-06-19 3.5 0.5 0.017 7.8 1000.76 17.1
2020-06-20 5.7 0.4 1.967 7.7 1004.9 17.1
2020-06-21 4.3 0.4 6.933 6.1 1006.75 18.2
2020-06-22 3.8 0 14.267 1.4 1009.54 19.8
2020-06-23 3.2 0 15.867 0.6 1012.99 19
2020-06-24 2.8 0 10.15 4.9 1012.8 20
2020-06-25 3.9 0 8.517 4.8 1009.34 22.4
2020-06-26 3.5 1.2 9.983 3.5 1003.57 21.7
2020-06-27 3 0 10.633 2.9 998.28 23.8
2020-06-28 3.6 11.4 3.95 7.2 1000.61 20.6
2020-06-29 2.7 0 7.183 5.2 999.65 17.7
2020-06-30 5.2 0 9.4 6 996.77 18.7
2020-07-01 4.2 8.6 1.917 7.7 995.47 19.2
2020-07-02 3.5 0.2 7.55 6 998.08 19.3
2020-07-03 4.2 0 8.683 5.5 1003.31 18.6
2020-07-04 5.1 0 8.6 5.9 1002.7 20.3
2020-07-05 5.9 1.6 2.967 7 998.15 21.7
2020-07-06 6.5 1.6 9.6 4.1 999.55 16.5
2020-07-07 4.9 0.2 7.617 5.6 1005.69 15.3
2020-07-08 3.6 0.4 1 7.5 1003.83 14.5
2020-07-09 2.9 10.2 0.133 7.8 1001.55 16.2
2020-07-10 4.3 3.2 3.233 7.1 998.64 17.6
2020-07-11 3.8 0 8.783 4.6 1010.17 14.8
2020-07-12 3.3 0 11.017 3.7 1014.55 15.6
2020-07-13 2.2 0 14.6 3.9 1011.29 17.9
2020-07-14 3.3 0 11.2 4.8 1002.4 21.3
2020-07-15 2.4 6.9 0.017 7.8 1000.91 15.5
2020-07-16 3 0.2 5.917 6.6 1003.71 16.4
2020-07-17 2.9 0.9 5 4.5 1006.93 15.8
2020-07-18 1.9 0 13.883 1.5 1007.58 20.4
2020-07-19 2.2 0 10.283 5 1003.95 23.4
2020-07-20 3.8 0 8.567 5.6 1004.37 19.4
2020-07-21 3.3 0 13.367 1.9 1009.54 16.9
2020-07-22 3.2 2.4 10.75 4.4 1009.67 16.8
2020-07-23 2.4 0 10.717 4 1005.03 17.4
2020-07-24 4.8 0 9.917 4.4 998.74 20.5
2020-07-25 2.2 0 6.7 6.1 1000.42 20.2
2020-07-26 3.2 7.9 3.867 6.8 999.5 18.2
2020-07-27 2.7 0.4 7.683 5.2 1003.86 19.8
2020-07-28 5.2 0 8.883 6 997.9 22.2
2020-07-29 4.8 0 8.567 4.2 1005.61 18
2020-07-30 3.4 0 12.017 3.8 1008.61 17.2
